AdeptLocks50,Skyrim.esm:0C3680
AdvancedArmors,Skyrim.esm:0CB414
AetheriumCrest01,Dragonborn.esm:017725
AgileDefender00,Skyrim.esm:0BE123
AgileDefender20,Skyrim.esm:079376
AgileDefender40,Skyrim.esm:079389
AgileDefender60,Skyrim.esm:079391
AgileDefender80,Skyrim.esm:079392
AkaviriKatana,Skyrim.esm:03AEB9
Alchemist00,Skyrim.esm:0BE127
Alchemist20,Skyrim.esm:0C07CA
Alchemist40,Skyrim.esm:0C07CB
Alchemist60,Skyrim.esm:0C07CC
Alchemist80,Skyrim.esm:0C07CD
AlchemySkillBoosts,Skyrim.esm:0A725C
Ale,Skyrim.esm:034C5E
AleWhiterunQuest,Skyrim.esm:09380D
AllowShoutingPerk,Skyrim.esm:0F11A9
Allure,Skyrim.esm:058F75
AlterationAdept50,Skyrim.esm:0C44B8
AlterationApprentice25,Skyrim.esm:0C44B7
AlterationDualCasting,Skyrim.esm:0153CD
AlterationExpert75,Skyrim.esm:0C44B9
AlterationMaster100,Skyrim.esm:0C44BA
AlterationNovice00,Skyrim.esm:0F2CA6
AncientNordAmulet,Skyrim.esm:0CC842
Animage,Skyrim.esm:0581E1
AntlersLarge,Skyrim.esm:06BC0A
AntlersSmall,Skyrim.esm:06BC0B
ApprenticeLocks25,Skyrim.esm:0BE125
ArcaneBlacksmith,Skyrim.esm:05218E
ArmorAfflicted,Skyrim.esm:097A43
ArmorAstrid,Skyrim.esm:07EAF1
ArmorAtronachFlameDead,Skyrim.esm:060DA7
ArmorAtronachFrostShield,Skyrim.esm:04408F
ArmorBanditBoots,Skyrim.esm:06F398
ArmorBanditCuirass,Skyrim.esm:06F393
ArmorBanditCuirass1,Skyrim.esm:10594B
ArmorBanditCuirass2,Skyrim.esm:10594D
ArmorBanditCuirass3,Skyrim.esm:10594F
ArmorBanditGauntlets,Skyrim.esm:06F39B
ArmorBanditHelmet,Skyrim.esm:06F39E
ArmorBladesBoots,Skyrim.esm:04B288
ArmorBladesCuirass,Skyrim.esm:04B28B
ArmorBladesGauntlets,Skyrim.esm:04B28D
ArmorBladesHelmet,Skyrim.esm:04B28F
ArmorBladesShield,Skyrim.esm:04F912
ArmorBoneCrown,Skyrim.esm:0DA750
ArmorBriarHeart,Skyrim.esm:05D008
ArmorBriarHeartEmpty,Skyrim.esm:05D009
ArmorChaurusSpitSkin,Skyrim.esm:0C5A9D
ArmorCompanionsBoots,Skyrim.esm:0CEE7C
ArmorCompanionsCuirass,Skyrim.esm:0CAE15
ArmorCompanionsGauntlets,Skyrim.esm:0CEE7E
ArmorCompanionsHelmet,Skyrim.esm:04C3D0
ArmorCompanionsSet,Skyrim.esm:10FDE9
ArmorDaedricBoots,Skyrim.esm:01396A
ArmorDaedricCuirass,Skyrim.esm:01396B
ArmorDaedricGauntlets,Skyrim.esm:01396C
ArmorDaedricHelmet,Skyrim.esm:01396D
ArmorDaedricShield,Skyrim.esm:01396E
ArmorDragonplateBoots,Skyrim.esm:013965
ArmorDragonplateBootsUnplayable,Dawnguard.esm:0074C7
ArmorDragonplateCuirass,Skyrim.esm:013966
ArmorDragonplateCuirassUnplayable,Dawnguard.esm:0074C9
ArmorDragonplateGauntlets,Skyrim.esm:013967
ArmorDragonplateGauntletsUnplayable,Dawnguard.esm:0074F7
ArmorDragonplateHelmet,Skyrim.esm:013969
ArmorDragonplateShield,Skyrim.esm:013968
ArmorDragonPriestMaskBronzeHelmet,Skyrim.esm:061CB9
ArmorDragonPriestMaskCorondrumHelmet,Skyrim.esm:061CAB
ArmorDragonPriestMaskEbonyHelmet,Skyrim.esm:061CA5
ArmorDragonPriestMaskIronHelmet,Skyrim.esm:061CC1
ArmorDragonPriestMaskMarbleHelmet,Skyrim.esm:061CC2
ArmorDragonPriestMaskMoonstoneHelmet,Skyrim.esm:061C8B
ArmorDragonPriestMaskOrichalumHelmet,Skyrim.esm:061CC0
ArmorDragonPriestMaskSteelHelmet,Skyrim.esm:061CC9
ArmorDragonPriestMaskUltraHelmet,Skyrim.esm:061CD6
ArmorDragonPriestMaskWoodHelmet,Skyrim.esm:061CCA
ArmorDragonscaleBoots,Skyrim.esm:01393D
ArmorDragonscaleCuirass,Skyrim.esm:01393E
ArmorDragonscaleGauntlets,Skyrim.esm:01393F
ArmorDragonscaleHelmet,Skyrim.esm:013940
ArmorDragonscaleShield,Skyrim.esm:013941
ArmorDraugrBoots,Skyrim.esm:056A9D
ArmorDraugrBootsUnplayable,Skyrim.esm:1019CD
