 Magic Resistance,Skyrim.esm:053128
 Zahkrii Do Dovahkiin,Dragonborn.esm:01BFEF
"Alchemy Laboratory, Doors",HearthFires.esm:0031CF
"Alchemy Laboratory, Doors",HearthFires.esm:009528
"Alchemy Laboratory, First Floor Walls",HearthFires.esm:003755
"Alchemy Laboratory, First Floor Walls",HearthFires.esm:00952D
"Alchemy Laboratory, Floor",HearthFires.esm:003751
"Alchemy Laboratory, Floor",HearthFires.esm:00952A
"Alchemy Laboratory, Foundation",HearthFires.esm:003752
"Alchemy Laboratory, Foundation",HearthFires.esm:009529
"Alchemy Laboratory, Main Supports",HearthFires.esm:003750
"Alchemy Laboratory, Main Supports",HearthFires.esm:00952B
"Alchemy Laboratory, Roof Canopy",HearthFires.esm:0068F2
"Alchemy Laboratory, Roof Canopy",HearthFires.esm:009546
"Alchemy Laboratory, Roof",HearthFires.esm:003754
"Alchemy Laboratory, Roof",HearthFires.esm:00952F
"Alchemy Laboratory, Second Floor Supports",HearthFires.esm:00373C
"Alchemy Laboratory, Second Floor Supports",HearthFires.esm:00952C
"Alchemy Laboratory, Second Floor Walls",HearthFires.esm:003753
"Alchemy Laboratory, Second Floor Walls",HearthFires.esm:00952E
"Amethyst Claw, Left Half",Dragonborn.esm:01CAC0
"Amethyst Claw, Right Half",Dragonborn.esm:01CAC1
"Armory, Doors",HearthFires.esm:0031D0
"Armory, Doors",HearthFires.esm:009530
"Armory, Floor",HearthFires.esm:003CD8
"Armory, Floor",HearthFires.esm:009533
"Armory, Foundation",HearthFires.esm:003CD6
"Armory, Foundation",HearthFires.esm:009531
"Armory, Roof",HearthFires.esm:003CD9
"Armory, Roof",HearthFires.esm:009534
"Armory, Wall Supports",HearthFires.esm:003CD7
"Armory, Wall Supports",HearthFires.esm:009532
"Armory, Walls",HearthFires.esm:003CDA
"Armory, Walls",HearthFires.esm:009535
"Bedrooms, Doors",HearthFires.esm:003197
"Bedrooms, Doors",HearthFires.esm:009506
"Bedrooms, Floor",HearthFires.esm:0031DD
"Bedrooms, Floor",HearthFires.esm:009509
"Bedrooms, Foundation",HearthFires.esm:0031DB
"Bedrooms, Foundation",HearthFires.esm:009507
"Bedrooms, Roof",HearthFires.esm:0031DE
"Bedrooms, Roof",HearthFires.esm:00950A
"Bedrooms, Wall Supports",HearthFires.esm:0031DC
"Bedrooms, Wall Supports",HearthFires.esm:009508
"Bedrooms, Walls",HearthFires.esm:0031DF
"Bedrooms, Walls",HearthFires.esm:00950B
"Chandelier, Large",HearthFires.esm:005A47
"Chandelier, Small",HearthFires.esm:005A48
"Chandelier, Small",HearthFires.esm:005A49
"Chest, Long",HearthFires.esm:005A3C
"Enchanter's Tower, Doors",HearthFires.esm:0031CC
"Enchanter's Tower, Doors",HearthFires.esm:009513
"Enchanter's Tower, First Floor Walls",HearthFires.esm:003741
"Enchanter's Tower, First Floor Walls",HearthFires.esm:009518
"Enchanter's Tower, Floor",HearthFires.esm:00373E
"Enchanter's Tower, Floor",HearthFires.esm:009515
"Enchanter's Tower, Foundation",HearthFires.esm:00373D
"Enchanter's Tower, Foundation",HearthFires.esm:009514
"Enchanter's Tower, Main Supports",HearthFires.esm:00373F
"Enchanter's Tower, Main Supports",HearthFires.esm:009516
"Enchanter's Tower, Roof Canopy",HearthFires.esm:0068F1
"Enchanter's Tower, Roof Canopy",HearthFires.esm:009545
"Enchanter's Tower, Roof",HearthFires.esm:003743
"Enchanter's Tower, Roof",HearthFires.esm:00951A
"Enchanter's Tower, Second Floor Supports",HearthFires.esm:003740
"Enchanter's Tower, Second Floor Supports",HearthFires.esm:009517
"Enchanter's Tower, Second Floor Walls",HearthFires.esm:003742
"Enchanter's Tower, Second Floor Walls",HearthFires.esm:009519
"Greenhouse, Doors",HearthFires.esm:0031CB
"Greenhouse, Doors",HearthFires.esm:00950C
"Greenhouse, Fireplace",HearthFires.esm:00325C
"Greenhouse, Floor",HearthFires.esm:003257
"Greenhouse, Floor",HearthFires.esm:00950F
"Greenhouse, Foundation",HearthFires.esm:003255
"Greenhouse, Foundation",HearthFires.esm:00950D
"Greenhouse, Roof Framing",HearthFires.esm:00325A
"Greenhouse, Roof Framing",HearthFires.esm:009511
"Greenhouse, Roof",HearthFires.esm:00325B
"Greenhouse, Roof",HearthFires.esm:009512
"Greenhouse, Wall Supports",HearthFires.esm:003256
"Greenhouse, Wall Supports",HearthFires.esm:00950E
"Greenhouse, Walls",HearthFires.esm:003258
"Greenhouse, Walls",HearthFires.esm:009510
"House, Door",HearthFires.esm:003080
"House, Floor",HearthFires.esm:00309F
"House, Foundation",HearthFires.esm:003014
"House, Roof Framing",HearthFires.esm:00307E
"House, Roof",HearthFires.esm:00307F
"House, Wall Framing",HearthFires.esm:00307C
"House, Walls",HearthFires.esm:00307D
"Kitchen, Doors",HearthFires.esm:0031D1
"Kitchen, Doors",HearthFires.esm:009544
"Kitchen, Fireplace",HearthFires.esm:003CE1
"Kitchen, Floor",HearthFires.esm:003CDD
"Kitchen, Floor",HearthFires.esm:009538
"Kitchen, Foundation",HearthFires.esm:003CDB
"Kitchen, Foundation",HearthFires.esm:009536
"Kitchen, Roof Framing",HearthFires.esm:003CDE
"Kitchen, Roof Framing",HearthFires.esm:00953A
"Kitchen, Roof",HearthFires.esm:003CE0
"Kitchen, Roof",HearthFires.esm:00953B
